TRNS,0.0/0.0/0.0,-1.0/0.0/0.0,-3.7977914810180664/0.0/0.0,-5.652542591094971/0.0/0.0,-8.450334548950195/0.0/0.0,-11.511787414550781/0.0/0.0,-14.309578895568848/0.0/0.0,-16.164329528808594/0.0/0.0,-18.962121963500977/0.0/0.0,-21.72229766845703/0.0/0.0,-24.52008819580078/0.0/0.0,-26.374839782714844/0.0/0.0,-29.172632217407227/0.0/0.0,-32.23408508300781/0.0/0.0,-35.03187561035156/0.0/0.0,-36.886627197265625/0.0/0.0,-39.684417724609375/0.0/0.0,-42.817787170410156/0.0/0.0,-45.615577697753906/0.0/0.0,-47.47032928466797/0.0/0.0,-50.26811981201172/0.0/0.0,-53.32957458496094/0.0/0.0,-56.12736511230469/0.0/0.0,-57.98211669921875/0.0/0.0
1.0/-3.9939804077148438/0.0,2.30784358,1.689690589,0.4891893868,0.001389993384,0.001590436914,0.001015766088,0.001764110737,0.001340359572,0.001977091153,0.01206292271,0.02042859454,0.001195786762,0.0009732692799,0.00145281821,0.002253336646,0.002153059209,0.0008011301315,0.004436606854,0.004345221597,0.001380277688,0.003058220479,0.002538038562,0.001211040032,0.001058592091
1.0/-7.188582420349121/0.0,1.930086483,1.45371023,0.8905962329,0.0006840527693,0.001878471287,0.001124742484,0.0002604497652,0.0009894399724,0.001061431876,0.005494406869,0.00128733272,0.0008827177762,0.001436915212,0.0008043418572,0.0009505088445,0.0007224394004,0.000147846554,0.001637529308,0.002915999033,0.001892256089,0.004232901822,0.0006691266331,0.0001277110838,0.0006251536388
1.0/-10.327518463134766/0.0,1.686965354,1.441785632,74.01546498,0.003104092032,0.003729302413,0.001512252483,0.001181867946,0.02282354097,0.0006020701869,0.007737671922,0.001947217826,0.00133519778,0.09291610382,0.01155814141,0.001258021155,0.0001247372283,0.0008945300341,0.004053149569,0.001764294563,0.0006605132631,0.001493959106,0.001416968125,0.001352229355,0.02647698465
1.0/-13.831335067749023/0.0,2.263914744,1.88973033,1.396746281,0.001528987573,0.002834149035,0.002178810919,0.002794341996,0.00199042726,0.001067625627,0.007622714846,0.000246637079,0.001183824907,0.00529943338,0.00179785648,0.002549480875,0.003294169494,0.001387953278,0.005789752444,0.003519617639,0.002342520529,0.004919895624,0.003589499591,0.001198925593,0.002515206337
1.0/-18.75892448425293/0.0,100,0.01996249267,0.01024538099,0.0008961759733,0.003845282734,0.01424405145,0.0001706073218,0.0009721972888,0.0003476448702,0.0004964282698,0.01638345042,0.001156446546,0.0004706248358,0.0001756277389,0.0004669723012,0.02025437692,0.0001936934333,0.0003900588022,0.01012364576,0.000953477072,0.0005545515025,0.0005259727658,0.0008365699987,0.0001247372283
1.0/-22.64861488342285/0.0,0.001793094425,0.002796862564,0.0001247372283,0.02430832339,0.0486423633,0.001211168479,0.002208645389,0.001348484492,0.002089534152,0.002295233115,0.001336743253,0.0005346823639,0.001305558656,0.0008120137926,0.001727234897,0.002275510029,0.0001791080844,0.001262404166,0.003002688522,0.004584731319,0.0006837241416,0.002107587659,0.001856580648,0.0003786698698
1.0/-25.843215942382812/0.0,0.0001247372283,0.001978462439,0.001971088714,0.06480833184,0.2354296202,0.0007139700554,0.001301971358,0.002296424822,0.0005685030636,0.001082411071,0.002101319886,0.00252151342,0.004617671951,0.000574407484,0.0001696975574,0.004952814662,0.001266986165,0.0004252416629,0.006871961783,0.002494751089,0.005239618955,0.0007645532154,0.0005472165971,0.0001247372283
1.0/-28.982152938842773/0.0,0.01300671519,0.001872722765,0.0006219143775,0.1102045417,0.2091968231,0.0001689529139,0.001760552867,0.0006688281628,0.0008968653373,0.002049122404,0.00198901405,0.001193375091,0.003885225535,0.0003624720392,0.0001247372283,0.02734730606,0.01718955975,0.0006037716921,0.0179371677,0.002361418174,0.003433559219,0.001809228449,0.001035940798,0.0004225828462
1.0/-32.48596954345703/0.0,0.002749264236,0.00438358837,0.001139282804,0.1877656053,0.1789652358,0.001392769172,0.0008062876815,0.002144142009,0.001642964519,0.003519169,0.004782314224,0.0005465349286,0.005782831649,0.001162019738,0.0007356347315,0.003220549435,0.002013863067,0.002949459416,0.02004040086,0.002162936905,0.01013376853,0.001822875647,0.0007907234901,0.001354724103
1.0/-37.41355895996094/0.0,0.0001247372283,0.002651567013,0.03230983508,0.00800751195,0.01135771089,0.001324902587,0.01484143166,0.02409351535,0.01723104376,0.002008612571,0.001218557825,0.001169782832,0.005236573544,0.001243571699,0.004881027337,0.001531809565,0.0007837085208,0.002564620559,0.00618287874,0.01195946134,0.009349110998,6.536445817,8.327625715,8.552993266
1.0/-41.291786193847656/0.0,0.00504253563,0.006741711311,0.002238861657,0.00277434277,0.004456879978,0.0006082223124,0.0008873067147,0.002889298816,0.000904028105,0.001106511221,0.001790088577,0.0008592185131,0.005944315146,0.001826834515,0.0002313012205,0.002953469343,0.0005756426332,0.00130412932,0.009366623611,0.001275148669,0.002609469921,0.0002605253938,0.000621556122,0.0001521277792
1.0/-44.48638916015625/0.0,0.006032355884,0.001254566415,0.008035011319,0.001593086415,0.003144359165,0.0005820902362,0.00242623962,0.005184676914,0.004171436492,0.002647425805,0.001284883497,0.007709085617,0.007947755261,0.0004683067385,0.0009684650408,0.003196721141,0.0005164784367,0.001560122279,0.005093289567,0.00305090579,0.003450292932,1.287799801,1.945460728,1.467199934
1.0/-47.62532424926758/0.0,0.0001247372283,0.001650770438,0.0001247372283,0.00152847791,0.002990604559,0.0874584759,0.0750729085,0.009948818922,0.04073412884,0.005334121759,0.006163871667,0.01360944843,0.01396657638,0.007368754496,0.001115026084,0.01414083617,0.02854266433,0.009180684007,0.01700581476,0.006634929118,0.01380894858,0.001076490927,0.001027307958,0.0002095306613
1.0/-51.12914276123047/0.0,0.027905032,0.01044628168,0.00809460432,0.004872023338,0.002656129049,1.417901692,0.9309913594,0.01476777809,0.04102318107,0.0173835218,0.007627791188,0.001664198858,0.007675596932,0.006402728755,0.000597335402,0.01035138264,0.02192730723,0.005800296282,0.009712372653,0.006403194462,0.005320228477,0.001009210244,0.002407753027,0.002946524924
1.0/-56.056732177734375/0.0,0.0158973059,0.0007779314032,0.001162548082,0.00662676568,0.004450525163,1.709558791,0.6687335338,0.02172299451,0.0603545571,0.01220951527,0.008598049073,0.009480827086,0.00817050846,0.008130852528,0.001201051389,0.01278011868,0.01942897875,0.01354360629,0.01731771791,0.01177123312,0.02032484395,0.001691000514,0.00129099335,0.002567293682
1.0/-61.14840316772461/0.0,0.005024538734,0.01901841363,0.004997151311,0.005573113244,0.003826069303,0.08433813462,0.06348124496,0.499288296,1.486322662,0.01569313337,0.0229740524,0.006592369996,0.01365797126,0.00637110079,0.001451996926,0.006670637618,0.01365139809,0.01516054004,0.02494508207,0.007115346793,0.02528994496,0.002907470432,0.001387316622,0.001273312594
1.0/-64.34300231933594/0.0,0.005225049876,0.0009055572179,0.002706546625,0.006573617694,0.003039325873,0.1480846587,0.1503256152,0.5099570144,2.028686827,0.02028776561,0.01579740076,0.003635464639,0.01690834694,0.008676051406,0.003635042821,0.01547187042,0.02035481109,0.01506485151,0.01218107835,0.009420398105,0.01178814034,0.00598400457,0.004057535822,0.001839063733
1.0/-67.48194122314453/0.0,0.001782891133,0.004078723004,0.002770582919,0.005081193412,0.00438401387,0.04952587252,0.05286272209,0.2745683329,1.117612664,0.01049799345,0.01041157119,0.006911318007,0.00865419734,0.005490273549,0.003864164325,0.01079067856,0.01086342296,0.009145179194,0.01176678532,0.007363961286,0.01478637924,0.005158387193,0.002153685447,0.002635605802
1.0/-70.98576354980469/0.0,0.06741448434,0.001752548043,0.002328021734,0.004038758869,0.008021025123,0.006798773676,0.02932685658,0.02894827777,0.0495194364,6.514182039,11.44281379,0.2060486538,0.5567481445,0.05172979971,0.0004509609829,0.06142175692,0.1490805774,0.735665134,0.6334454327,0.5931695138,0.6206877438,0.001354502582,0.001131040533,0.001384128307
1.0/-75.91334533691406/0.0,0.01539753894,0.0006004257169,0.002990939659,0.0005930079185,0.002442680736,0.005525246442,0.02692484707,0.02332005729,0.03329826415,1.773605955,2.445939065,0.1239674804,0.3031642553,0.02911173147,0.0001247372283,0.04809872129,0.103239915,0.6318422933,0.5412845595,0.5191878408,0.5208881525,0.001914225703,0.0003321396568,0.001016152576
