Labels,M0,M1,M2,M3,M4,M5,M6
T0,XYZ,-2.6981418132781982/1.464874505996704/0.08887505531311035,-2.478877544403076/6.72138786315918/0.7909508943557739,8.561708450317383/3.6334455013275146/0.005273878574371338,8.359580039978027/5.898128986358643/0.8199436664581299,15.856415748596191/6.573328495025635/0.4875427186489105,19.78324317932129/5.945435047149658/1.0250452756881714
D1,20.06427764892578/-4.0568718910217285/0.8303823471069336,1,1,2,0.5,0.01,0.1
D2,-2.629493236541748/0.024046212434768677/0.8675006628036499,0.01,0.5,5,0.15,0.3,0.15
D3,-2.446772575378418/3.804424285888672/0.4626219570636749,0.5,0.01,0.5,0.5,0.3,0.3
D4,0.3770906925201416/6.351438522338867/0.7691133618354797,0.01,0.15,10,0.5,0.3,0.1
D5,1.7548705339431763/3.4667117595672607/0.041706085205078125,0.3,0.3,0.5,0.5,0.5,0.3
D6,8.483508110046387/-1.0114718675613403/0.041706085205078125,0.3,0.1,0.5,20,0.5,0.1
D7,15.131295204162598/2.9754788875579834/0.041706085205078125,0.1,0.3,0.5,100,15,0.3
D8,5.981509685516357/5.760181427001953/0.6180832386016846,0.15,0.3,0.5,0.5,0.5,50
INSIGHTS,,,,,,,
VIEWS,11.301858186721802/30.08887505531311/9.464874505996704,11.521122455596924/30.790950894355774/14.72138786315918,22.561708450317383/30.00527387857437/11.633445501327515,22.359580039978027/30.81994366645813/13.898128986358643,29.85641574859619/30.48754271864891/14.573328495025635,33.78324317932129/31.02504527568817/13.945435047149658,34.873985290527344/30.593607366085052/8.764414310455322
